Text,Emotion,Translation,Emotion_Traduzida
"There was amusement in Jake 's voice , but there was something else as w",happy,"Havia diversão na voz de Jake, mas havia algo mais como W",felicidade
i feel it is too dangerous to invest in such markets,anger,Eu sinto que é muito perigoso investir nesses mercados,raiva
i feel that i should write the company and tell that that for this reason alone they need to come further east,sadness,"Sinto que devo escrever a empresa e dizer que, por esse motivo, eles precisam ir mais longe para o leste",tristeza
i also feel ashamed at the hurt caused and ashamed at the things ive done that were not in my character and were down to being manic or whatever you want to call it,sadness,Eu também me sinto envergonhada com a mágoa causada e envergonhada com as coisas que eu não estava em meu personagem e estava sendo maníaco ou o que você quiser chamá -lo,tristeza
i just yearned for that homey feeling where you are sitting at the river with friends and the sun is hot and warming your skin and you are wearing jean shorts and life is perfect for a day,love,"Acabei de ansiar por aquele acaso caseiro, onde você está sentado no rio com os amigos e o sol está quente e aquecendo a pele e você está usando shorts jeans e a vida é perfeita por um dia",amor
i feel angry im happy,anger,"Eu me sinto com raiva, estou feliz",raiva
i am the only one feeling unhappy,sadness,Eu sou o único que me sinto infeliz,tristeza
i am feeling thankful for warm sunshine crisp autumn air and bright fall colors,happy,Estou me sentindo agradecido pelo sol quente do sol crocante de outono e cores de outono brilhante,felicidade
i squeek at the intimate scenes not once did i feel grossed out or appalled in anyway and not because im a freak but because when you read about these two loving people you forget that theyre brother and sister,anger,"Eu esgueirei as cenas íntimas nem uma vez me senti enojada ou horrorizada de qualquer maneira e não porque sou uma aberração, mas porque você lê sobre essas duas pessoas que amam, você esquece que eles são irmão e irmã",raiva
i sort of feel like one of those people who was unfortunate and lost their father when they were and life goes on,sadness,Eu meio que me sinto como uma daquelas pessoas que foram infelizes e perdi o pai quando elas eram e a vida continua,tristeza
i could do was feel i felt thankful that her battle was over thankful that she was now in a place of serenity,happy,Eu podia fazer era sentir que me senti grato por sua batalha ter sido grata por ela estar agora em um lugar de serenidade,felicidade
i think she just rolled out i guess she s over it already i m kinda feeling that but no one has performed yet and word on the street is there is supposed to be a surprised performance by lil wayne nikki minaj and drake that would be dope,surprise,"Eu acho que ela acabou de ser lançada, acho que ela já estou sentindo que, mas ninguém se apresentou ainda e a notícia na rua é que deve haver uma performance surpresa de Lil Wayne Nikki Minaj e Drake que seriam drogados",surpresa
i feel virtuous for a few seconds when i reflect that i did spend something when i went to the swimming pool working towards personal fitness yes,happy,Sinto -me virtuoso por alguns segundos quando reflito que gastei algo quando fui à piscina trabalhando em direção à aptidão pessoal sim,felicidade
i feel this way about all relationships romantic platonic and friend zoned friends that dissolve,love,Eu me sinto assim com todos os relacionamentos Platônicos românticos e amigos zoneados que se dissolvem,amor
i finally found this afternoon and i wear it feeling like a vicious lurker,anger,Finalmente encontrei esta tarde e eu o uso parecendo um espreitador cruel,raiva
The driver watched in astonishment as the car whacked into the side of his v,surprise,O motorista assistiu surpreso enquanto o carro atingiu o lado de seu V,surpresa
i feel like i missed out on a lot of important information that would have helped me understand his art better,sadness,Eu sinto que perdi muitas informações importantes que me ajudariam a entender melhor sua arte,tristeza
i think were on a level of understanding though i still feel hes hesitant,fear,"Eu acho que estavam em um nível de entendimento, embora eu ainda sinta que ele hesita",medo
i didn t feel useless anymore,sadness,Eu não me senti mais inútil,tristeza
i chose to share that little personal snippet in my phone because i know i m not the only one that feels this way and i know i m not the only one that was petrified to face it,fear,Eu escolhi compartilhar esse pequeno trecho pessoal no meu telefone porque sei que não sou o único que se sente assim e sei que não sou o único que estava petrificado para enfrentá -lo,medo
i feel disturbed in which happens to be roughly everywhere,sadness,Sinto -me perturbado no qual acontece aproximadamente em toda parte,tristeza
i love the snow lol it just makes everything feel so tranquil,happy,eu amo a neve lol isso só faz tudo parecer tão tranquilo,felicidade
im feeling fabulous today because i love my job,happy,Estou me sentindo fabuloso hoje porque amo meu trabalho,felicidade
i never kissed a guy because every time i d try i d freak out and feel disgusted,anger,Eu nunca beijei um cara porque toda vez que tento eu surto e sinto nojo,raiva
i do feel like josh is a pretty needy guy,sadness,Eu sinto que Josh é um cara muito carente,tristeza
i must really be feeling brave because this thrifted outfit is a swimsuit,happy,Eu realmente devo estar me sentindo corajoso porque essa roupa emocionada é um maiô,felicidade
i get the feeling that nellie is satisfied that the phone rang happy that leslie is out of the room now,happy,Tenho a sensação de que Nellie está satisfeita por o telefone tocar feliz que Leslie está fora da sala agora,felicidade
i feel desperately unhappy if this is me missing richard then i can t handle it it s too much i ve had enough of it i m a mess i know it s not me i still feel like myself,sadness,"Eu me sinto desesperadamente infeliz se este sou eu sentindo falta de Richard, então não consigo lidar com isso, é demais que eu tive o suficiente, estou uma bagunça, eu não sou eu, ainda me sinto como eu",tristeza
a boyfriend with whom i split up with came over to a friends house where i was visiting with a male friend in a confrontation in another room he tried to find out if i was aroused by my friend by feeling my parts,anger,"Um namorado com quem eu me separei veio para uma casa de amigos, onde eu estava visitando um amigo em um confronto em outra sala, ele tentou descobrir se eu estava despertado pelo meu amigo sentindo minhas partes",raiva
i usually take on to more protein when i start to feel lethargic,sadness,Eu costumo assumir mais proteínas quando começo a me sentir letárgico,tristeza
"If there is continuing disquiet about the way an industry is being run , Members can express their disquiet by questioning the fitness of the persons appointed by the Government to run ",fear,"Se houver uma inquietação contínua sobre a maneira como uma indústria está sendo administrada, os membros podem expressar sua inquietação, questionando a aptidão das pessoas nomeadas pelo governo para administrar",medo
i was speaking a lot of that to myself because well i feel very discontent where i am at in life,sadness,Eu estava falando muito disso para mim mesmo porque me sinto muito descontente onde estou na vida,tristeza
i see myself behave in relation to feeling positive or negative and the way others perceive me within doing so,happy,Eu me vejo se comportar em relação a me sentir positivo ou negativo e a maneira como os outros me percebem dentro de fazê -lo,felicidade
i was really feeling crappy even after my awesome week of workouts,sadness,Eu estava realmente me sentindo ruim mesmo depois da minha incrível semana de exercícios,tristeza
i finished sailing i would feel so invigorated,happy,"Eu terminei de navegar, eu me sentiria tão revigorada",felicidade
i cant help but feel someones going to end up pissed at me,anger,Eu não posso deixar de me sentir que acaba acabando chateado comigo,raiva
